id,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,Potability
L387,8.15,43,14.34,23.51,51.8,7.9,138.71,48,0,540,118.39,36.26,1
L388,7.87,47.53,16.11,31.12,62.8,9.16,138.4,42,0,442.1,144.77,38.89,1
L389,8.6,33,16.9,26.42,51.5,8,119.93,35.3,0,486,136.33,36.28,1
L390,8.27,29.45,13.89,20.09,44.21,5.73,109.03,22.54,0,444.7,107.99,30.75,1
L391,8.03,29,14.67,24.33,42.24,6.4,103,32.75,0,413.8,121.82,31.77,1
L392,7.49,25,13.25,22.75,41.71,5.9,74,27.56,0,339.5,111.97,28.13,1
L393,8.45,14.03,12.22,22.69,14,3.78,97.65,25.93,0,316.3,107.53,26.68,1
L394,7.93,17.96,12.16,20.54,26.84,4.06,110.98,36.8,0,1090.8,101.92,31.47,1
L395,7.91,27.1,15.15,23.76,34.23,5.82,136.62,46.28,0,448.4,122.42,32.89,1
L396,7.95,40.94,11.34,31.31,27.69,7.89,136.49,29.75,0,476,146.66,35.72,1
L397,7.89,31.99,14.56,23.39,35.75,6.54,140.33,27.22,0,479.4,119.04,33.41,1
L398,7.84,31.4,16.16,26.24,25.19,6.38,141.55,139.47,0,496.7,132.79,36.14,1
L399,8.06,36.63,16.91,31.24,25,7.72,149.88,54.45,0,517.2,148.39,37.75,1
L400,8.59,40.4,15.3,31.37,26.14,9,154.68,45.15,0,515.5,150.8,39.26,1
L401,9.16,45.2,14.85,29.94,51.74,8.3,136.56,51.83,0,477,136.56,38.66,1
L402,7.66,36,15.7,24.93,36.64,8.2,112.54,35.1,0,406,128.91,33.85,1
L403,8.84,28,22.59,23.64,25,5.6,116.55,28.11,0,373.8,153.11,33.98,1
L404,7.69,33.3,17.74,25.08,36.47,6.9,134.2,33.87,0,401.8,136.48,34.32,1
L405,8.95,42.41,15.53,27.53,40.6,5.35,134.04,33.97,0,423.2,133.4,34.78,1
L406,8.71,33.5,17.89,28.65,39.17,5.9,131.96,35.21,0,447.2,146.03,35.52,1
L407,7.91,33.7,19,31.26,40.27,6.3,143.26,38.57,0,477,157.2,36.71,1
L408,7.98,30.5,20.2,33.91,43.42,3.9,155.75,35.04,0,512.8,161.3,36.27,1
L409,8.06,29.98,21.77,31.53,45.95,11,151.88,36.3,0,533.6,168.64,41.95,1
L410,8.2,50.51,22.63,25.1,46.39,9.21,148.82,41.6,0,530.3,170.8,41.05,1
L411,8.21,38.75,14.92,17.11,47.1,7.89,142.2,42.93,0,543.8,157.41,36.57,1
L412,8.75,37.9,16.82,35.38,48.91,10,153.03,45.67,0,590.8,158.34,42.07,1
L413,8.04,39.74,15.58,32.58,51.74,8.06,147.8,51.86,0,580.3,146.21,38.99,1
L414,8.77,53.43,16.71,28.18,50.67,7.86,133.89,20.24,0,555,139.94,38.25,1
L415,8.23,42.01,13.59,23.76,47.42,8.61,142.95,46.46,0,494.4,115.92,36.43,1
L416,8.5,50,14,25,50,11,115,44,0,509.6,119,38.02,1
L417,8.59,60.61,13.94,26.74,39.5,5.48,113.59,40.28,0,457.5,124.8,34.05,1
L418,8.18,42.5,14.96,28.81,43.41,7.06,190.38,42.92,0,481.2,134.22,38.55,1
L419,7.97,43.3,16.38,20.89,41.37,8,178.26,42.34,0,497.5,120.38,37.44,1
L420,7.94,33.9,17.75,34.09,42.9,9.3,132.8,41.9,0,529,145.5,38.72,1
L421,2.41,50.4,18.12,29.99,45.84,10.6,145.6,40.05,0,540.4,150.32,35.69,1
L422,8.11,49.5,16.52,28.92,46.86,11.5,157.78,42.94,0,547.5,140.99,41.64,1
L423,7.89,45.2,16.93,34.69,53.35,9.05,157.35,43.74,0,551.8,157.09,40.86,1
L424,7.96,52.7,13.94,2.2,50.85,10.5,159.31,41.42,0,527.5,133.35,37.01,1
L425,8.34,43.7,14.95,26.94,41.02,9.42,137.7,37.66,0,489,129.51,37.65,1
L426,7.71,41,11,21.8,46,11,129,40,0,498.6,102,35.81,1
L427,7.89,48,14,24.6,39,9,127,43,0,473.8,119,35.80,1
L428,7.55,37.8,12,29,47,7,98,26,0,421.7,123,32.13,1
L429,7.33,32.3,14,26,32,6,110,1.2,0,413.8,122,30.48,1
L430,7.64,31,14,26,35,7,118,37,0,453.8,122,32.79,1
L431,8.09,35,0.18,22,40,7,141,31,0,493,128,31.88,1
L432,7.42,44,16,28,43,8,115,44,0,524.8,136,35.58,1
L433,7.69,45,19,33,44,8.5,162,31,0,567,160,40.29,1
L434,7.95,45,16,31,44,8.6,163,51,0,553,145,39.70,1
L435,8.01,45,15.03,28,8.98,8.8,161,52,0,350,133,36.78,1
L436,7.87,51,12.91,21,46,12.4,156,38,0,553.3,105,39.30,1
L437,7.82,48,16.28,30,46,11.6,153,42,0,531.3,142,41.15,1
L438,7.93,93,11,20.2,48,10.8,145,36,0,519.6,96,38.68,1
L439,8.02,38,15,22.4,45,11.2,148,35,0,488.6,120,38.15,1
