RSC,PI,KR,Mg,Na,SAR,SSP,EC,IWQI,USABLE
-0.4,44.3,0,26.9,3.7,0.1,3.7,553,22.0030754,0
-1.1,45.2,0.1,23.8,5.6,0.2,5.6,457,14.76031746,0
-0.5,48.5,0.2,25,15.4,0.6,15.4,715,32.57321429,0
-0.2,51.2,0.2,23.1,14.3,0.5,14.3,617,33.25882937,0
-0.6,45.8,0,37,4.2,0.1,4.2,493,22.07718254,0
-1,42.2,0.1,45.3,5,0.2,5,570,22.14543651,0
-1,40.4,0.1,25,5.1,0.2,5.1,644,18.03859127,0
-0.5,47.3,0,33.3,2.8,0.1,2.8,425,20.49920635,0
-0.7,38.2,0.1,37.8,5,0.2,5,798,26.35615079,0
-0.5,46.4,0,31.1,3.4,0.1,3.4,478,21.0093254,0
-0.5,47.3,0,35.7,2.8,0.1,2.8,442,21.38253968,0
-0.6,43.4,0,26.9,3.7,0.1,3.7,548,19.75902778,0
-0.5,47.3,0,37.2,3.6,0.1,3.6,461,22.52420635,0
-0.3,52.1,0.1,25.6,6.7,0.2,6.7,428,24.57787698,0
-0.4,48.8,0,33.3,1.5,0,1.5,414,20.78303571,0
-0.8,41.1,0,31,4.1,0.2,4.1,614,19.76775794,0
-0.4,45.1,0,28,3.9,0.1,3.9,534,22.21676587,0
-0.5,43.1,0,25.9,3.6,0.1,3.6,573,20.81587302,0
-0.9,40.4,0,35.6,4.1,0.2,4.1,626,19.99275794,0
-0.8,42.9,0,31.4,3.8,0.1,3.8,540,18.71765873,0
-1.1,37.3,0.1,35.9,6.1,0.3,6.1,846,23.20863095,0
-0.4,47.4,0,31.8,3.5,0.1,3.5,472,22.31914683,0
-0.3,49.6,0,37.5,2.9,0.1,2.9,420,23.9328373,0
-0.6,41.9,0.1,33.3,6.4,0.2,6.4,685,25.79603175,0
-0.5,46.9,0,21.4,2.1,0.1,2.1,444,17.37569444,0
-0.6,42,0,19.6,3.5,0.1,3.5,596,18.37152778,0
-0.3,46.5,0,27.7,3.3,0.1,3.3,499,22.47093254,0
-0.5,42.2,0,38.6,3.7,0.1,3.7,600,24.33640873,0
-2.5,33.6,0.1,40.2,7,0.3,7,944,11.7625,0
-0.5,44.2,0,40,3.1,0.1,3.1,525,23.45605159,0
-0.4,50.5,0.1,25,5.9,0.2,5.9,439,22.87549603,0
-0.5,47.8,0,34.2,2.8,0.1,2.8,432,20.93015873,0
0,50.3,0.2,32.2,15.6,0.6,15.6,712,39.75714286,0
-0.5,45,0,41.7,3.2,0.1,3.2,505,23.7468254,0
-0.5,41.7,0,36.2,3.3,0.1,3.3,607,23.53878968,0
-0.4,43.2,0.1,36.2,5.2,0.2,5.2,627,27.11150794,0
-0.5,48.3,0,32.5,2.9,0.1,2.9,418,20.41736111,0
-0.5,41.8,0.1,32.8,5,0.2,5,656,25.38234127,0
-0.3,52.5,0.1,23.1,7.6,0.2,7.6,430,24.56388889,0
-0.5,44.6,0.1,30.9,6.6,0.2,6.6,598,25.3406746,0
-0.6,41.8,0,36.2,4.1,0.2,4.1,612,23.1594246,0
-0.5,43.1,0,35.2,3.6,0.1,3.6,569,23.07420635,0
-0.6,43.2,0.1,37,4.4,0.2,4.4,581,24.09484127,0
-0.5,41.4,0,32.2,3.3,0.1,3.3,620,22.70188492,0
